Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
4587.6,3117.5,2563.4,2086.6,476.8,554.1,361.7,192.4,340.3,32.6,307.7,24.7,949.2,793.6,155.5,538.8,515.7,226.8,96.9,59.6,13.7,17.2,101.6,23.1,382.8,566.7,4021,3711.4,3569.5,114.2,27.7,16.3,11.4,309.5,7.7,6273.6,6230.4,16278,25222,247017,4.2,-1.2
4643,3157.6,2592,2107.1,484.9,565.6,371.3,194.3,338,30.3,307.7,22.7,963.2,802.3,160.9,547.9,524.7,227.8,99.7,61.9,14.6,17.2,103.5,23.2,386.4,571.6,4071.5,3769.6,3625.6,115.9,28.1,16.7,11.4,301.9,7.4,6309.4,6272.8,16437,25325,247698,5.1,2.8
4716.1,3211.2,2634.6,2142.7,491.9,576.6,379.4,197.2,340.7,32.5,308.2,23.4,973.9,806.9,167,558.8,535.8,229,102.3,64.4,15.8,17.1,107.1,23.1,391.9,579.8,4136.3,3817.5,3670.1,118.1,29.3,17.1,12.2,318.8,7.7,6355.3,6323.2,16654,25459,248374,6.5,3.3
4813.2,3278.8,2686.8,2180.9,505.9,592,389,203,346.7,34.5,312.2,25.9,986.4,816.4,170,579.5,556.2,241,104.3,66.6,16.4,17.9,110,23.3,404.1,582.5,4230.7,3902.7,3754.5,118.8,29.3,17.3,12.1,328.1,7.8,6381,6376.5,16995,25615,248936,9.4,3.4
4888.9,3334.8,2735.9,2220.1,515.8,598.9,392.6,206.2,352.3,32.7,319.6,30.2,989.5,819.8,169.7,590.5,567.5,243.8,106.5,70.3,17.1,17.6,112.2,22.9,408.3,594.6,4294.3,3949,3800.2,119.2,29.7,17.9,11.8,345.3,8,6420.8,6414.6,17197,25688,249711,6.2,2.4
4950.6,3373.9,2768.7,2245.5,523.2,605.2,396.9,208.3,360.3,31.8,328.5,34.8,995.7,826,169.7,600,578.1,244.7,108.7,74.9,18.2,17.6,114,21.9,414.1,600.7,4349.9,4015.5,3863.4,120.9,31.2,18.7,12.5,334.5,7.7,6418.1,6417,17358,25607,250595,5.3,0.1
4972.9,3383.2,2773.4,2242.1,531.3,609.8,401.6,208.2,358.4,29.7,328.8,34.6,993.1,827.3,165.9,617.5,596.8,247,111,80.7,21,17.7,119.5,20.7,413.9,600.9,4372,4038.1,3884.4,121.5,32.1,19.6,12.5,333.9,7.6,6341.9,6366.2,17385,25315,251482,2,-3.1
4983.8,3395.1,2776,2232.1,543.9,619.1,407.1,212,349.1,26.2,322.9,36.2,986.3,811.4,174.9,641.6,622.5,261.3,112.9,83.7,24.3,18,122.3,19.2,424.5,580.8,4403,4046.7,3890.2,121.8,34.7,20.9,13.8,356.3,8.1,6291.5,6379.7,17454,25290,252258,2.9,0.9
5043,3430.2,2801.2,2254.1,547.1,629,415.2,213.8,354.8,27.8,326.9,38.6,985.7,805.9,179.8,661.4,643.5,263.6,115.7,93.1,27.5,18.5,125.1,17.9,427.7,586,4457,4101.8,3943.7,122.2,35.9,22.1,13.8,355.2,8,6315.2,6423.9,17612,25384,253063,5,2.8
5093.7,3469.2,2826.5,2276.5,550,642.7,426.3,216.4,355.5,24.5,331,43,987.8,805,182.8,670.8,653.8,265.1,118.9,98.4,25.9,18.1,127.3,17,432.6,590.2,4503.4,4148.7,3989.6,121.9,37.2,23.1,14.1,354.7,7.9,6331.9,6447.2,17733,25386,253965,4.2,1.5
