Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
10052.9,6739.5,5421.9,4469.3,952.7,1317.6,908.9,408.7,962.1,50.4,911.6,255.4,1503.7,941.7,562.1,1421.3,1404.6,485.5,304.4,289.8,36.4,34,254.4,16.8,829.2,1050.6,9002.3,8592.9,8260,221.8,111.1,66.9,44.2,409.4,4.5,9622.4,10035.7,30697,34221,293262,6.1,3.6
10614,7086.8,5692,4700.4,991.5,1394.8,966.8,428.1,979,46.4,932.6,238.4,1666.5,1088.1,578.3,1516.7,1491,512.7,332.2,304.4,31.8,36.4,273.6,25.7,873.3,1213.2,9400.8,9157.7,8794.1,248.8,114.8,71.6,43.2,243.1,2.6,9860.4,10189.4,31760,34424,295993,4.4,1.5
11393.9,7502.3,6057.4,5022.4,1035,1444.9,997.6,447.4,1053.7,36,1017.7,207.5,1938.4,1214.7,723.7,1614.6,1593.1,544.1,399.2,299.1,30.4,38.9,281.5,21.5,922.6,1357.1,10036.9,9705.5,9304,275.1,126.4,76.6,49.7,331.4,3.3,10323.5,10595.4,33589,35458,298818,6.8,4
12000.2,7898.3,6395.2,5306.3,1088.8,1503.1,1041.4,461.7,979.2,38.1,941.1,189.4,2166.6,1350.1,816.5,1728.1,1697.5,575.7,429,324.2,32.7,41.7,294.2,30.6,961.4,1493.2,10507,10197.2,9750.5,305.9,140.8,81,59.8,309.8,2.9,10578.7,10820.6,34826,35866,301696,4.7,2.1
12502.2,8078.3,6531.9,5387.8,1144.1,1546.4,1075.1,471.3,1026.5,47,979.5,262.1,2167.1,1361.6,805.4,1956.6,1920,605.5,462.9,338.3,51.1,45,417,36.6,988.2,1507.8,10994.4,10457.7,10013.6,289.6,154.4,82.8,71.7,536.7,4.9,10538.8,10987.3,36101,36078,304543,4.6,1.5
12094.8,7787,6251.4,5076.3,1175.1,1535.6,1077.5,458.1,973,35.5,937.5,333.7,1818,1264.3,553.7,2147.5,2108.8,664.5,494.6,369.2,131.2,51.5,397.8,38.7,964.4,1152.3,10942.5,10275.1,9847,273.9,154.2,83.5,70.7,667.4,6.1,9947.3,10942.5,35616,35616,307240,-0.5,-0.4
12477.1,7961.4,6377.5,5186.4,1191.1,1583.9,1114.6,469.4,1032.7,46,986.7,402.8,1739.6,1195,544.6,2324.7,2281.7,690.2,513.8,396.6,138.9,58,484.3,43,984.1,1239.3,11237.9,10607.9,10202.2,250.8,154.9,83.9,71,630,5.6,9987.3,11055.1,36274,35685,309801,2.7,1
13254.5,8269,6633.2,5438.4,1194.8,1635.9,1142,493.9,1143.7,75.5,1068.1,485.3,1913.9,1231.6,682.2,2360.5,2310.2,713.3,536,405.7,107.2,63.3,484.9,50.2,917.8,1453.2,11801.4,11091.2,10689.3,241.4,160.5,85.5,75.1,710.1,6,10460.1,11331.2,37811,36305,312114,5,2.5
13915.1,8609.9,6930.3,5732,1198.2,1679.6,1165.3,514.3,1241.4,61.6,1179.8,525.3,2123.8,1288.8,834.9,2366.3,2323.6,762.1,556.3,417.3,83.8,70.1,434,42.7,951.6,1511.4,12403.7,11457,11050.6,240.6,165.8,91.1,74.7,946.7,7.6,10882.7,11688.3,39455,37179,314377,5.1,3.2
14073.7,8842.4,7116.7,5908.7,1208,1725.8,1199,526.8,1284.7,87.8,1197,567.1,2056.1,1261.6,794.4,2428,2386.9,799,575,439.7,62.3,79.1,431.8,41.1,1104.6,1677.8,12395.8,11775.7,11361.2,243.9,170.7,93.4,77.3,620.1,5,10830,11527.6,39157,36414,316569,-0.1,-1.4
14809.7,9253.4,7476.3,6239.6,1236.7,1777.1,1229.8,547.3,1337.7,68.5,1269.2,606.1,2227,1300.9,926.1,2540.4,2494.9,834.6,601.1,487.4,35.5,83.7,452.6,45.5,1154.9,1787,13022.7,12296.7,11863.4,251.6,181.8,98.3,83.5,726,5.6,11240.8,11931,40838,37415,318887,5.1,3.5
15458.5,9693.1,7854.8,6580.3,1274.5,1838.2,1270.5,567.7,1376.8,39.9,1336.8,659.6,2253.8,1302.7,951.1,2678.6,2627.2,871.8,628.2,539.6,32.2,89.8,465.6,51.4,1203.5,1938.7,13519.8,12736.2,12283.7,263.8,188.8,103.3,85.4,783.6,5.8,11667.7,12343.3,42095,38432,321173,3.8,3.5
16011.6,10101.3,8189.2,6878.1,1311.1,1912.2,1325.4,586.7,1417.5,27.8,1389.7,704.7,2262.9,1314.5,948.4,2775.4,2722.1,896.5,662,566.6,30.1,95.2,471.6,53.3,1250.3,1965.6,14045.9,13227.1,12757.9,274.9,194.3,108.8,85.5,818.8,5.8,11954.1,12685.5,43433,39226,323391,3.9,2.8
