    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
5162,5193,4125,3612,3100,1539,439,1100,1561,23064,23246,16459,14123,4563,737,4423,9374,204086
5227,5260,4199,3684,3139,1551,445,1107,1587,23033,23219,16601,14144,4561,743,4407,9404,204721
5299,5331,4255,3765,3186,1566,448,1118,1620,23159,23342,16803,14220,4574,744,4423,9479,205419
5295,5324,4283,3791,3208,1561,424,1138,1646,22841,23011,16703,14132,4509,692,4460,9494,206130
5503,5539,4367,3892,3290,1615,474,1141,1675,23381,23577,16986,14359,4639,764,4464,9530,206763
5591,5629,4467,3982,3348,1639,487,1152,1709,23447,23651,17184,14449,4664,779,4461,9598,207362
5675,5709,4522,4030,3397,1653,497,1156,1744,23557,23745,17222,14519,4680,797,4439,9659,208000
5721,5758,4595,4089,3465,1682,514,1168,1783,23554,23749,17369,14715,4747,828,4455,9780,208642
5899,5938,4714,4142,3539,1711,529,1181,1828,23919,24121,17407,14874,4780,845,4459,9922,209142
6059,6097,4787,4198,3619,1757,544,1213,1862,24415,24615,17543,15122,4895,865,4569,10019,209637
6156,6198,4897,4305,3697,1797,559,1237,1900,24576,24790,17835,15316,4967,885,4620,10128,210181
6321,6364,5104,4501,3805,1858,586,1272,1947,24918,25131,18493,15634,5099,929,4695,10282,210737
6538,6588,5177,4578,3913,1928,624,1304,1985,25477,25717,18585,15885,5210,986,4713,10392,211192
6697,6752,5304,4693,3978,1950,620,1329,2029,25708,25962,18691,15843,5148,972,4662,10457,211663
6771,6837,5420,4788,4055,1983,616,1366,2072,25505,25794,18726,15860,5137,961,4673,10501,212191
6954,7021,5586,4928,4116,2002,603,1399,2114,25680,25971,18885,15775,5074,936,4643,10515,212708
7012,7092,5651,4981,4193,2043,594,1449,2150,25415,25749,18536,15605,4981,913,4571,10478,213144
