        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
18.778,18.725,29.513,54.733,21.323,13.832,24.57,23.691,30.18,10.004,50.886,31.968,12.945,---,---,27.806,31.735,19.67,19.586,19.944,17.785,13.505,16.506,16.023,17.473,11.439
18.9,18.782,29.514,54.432,21.371,13.919,24.833,23.954,30.325,10.201,50.692,32.054,13.297,---,---,27.704,31.541,19.759,19.793,20.166,17.948,13.714,16.863,16.416,17.696,11.526
19.016,18.928,29.783,54.359,21.658,14.007,24.745,23.852,30.305,10.177,50.642,32.227,13.115,---,---,28.167,32.21,19.799,19.887,20.188,18.197,13.809,16.891,16.396,17.885,11.685
19.189,19.083,29.999,54.593,21.841,14.137,25.122,24.244,30.585,10.4,50.795,32.363,13.59,---,---,28.402,32.484,19.959,20.097,20.489,18.198,13.906,16.893,16.391,17.914,11.874
19.359,19.23,30.188,54.834,21.994,14.267,25.133,24.246,30.654,10.413,50.942,32.436,13.509,---,---,28.736,32.921,20.099,20.042,20.411,18.197,14.12,17.186,16.73,18.022,12.025
19.518,19.379,30.362,55.085,22.132,14.408,25.418,24.531,30.915,10.546,51.319,32.531,13.806,---,---,29.231,33.588,20.252,20.16,20.578,18.199,14.188,17.185,16.698,18.14,12.163
19.6,19.436,30.338,54.97,22.126,14.507,25.519,24.628,31.056,10.589,51.609,32.571,13.835,---,---,29.747,34.338,20.326,20.158,20.506,18.349,14.243,17.125,16.624,18.144,12.332
19.717,19.528,30.41,55.212,22.161,14.612,25.629,24.748,31.225,10.647,51.893,32.74,13.878,---,---,29.701,34.175,20.493,20.106,20.424,18.362,14.386,17.309,16.824,18.256,12.444
19.894,19.708,30.734,55.821,22.393,14.725,25.773,24.906,31.434,10.721,52.236,32.959,13.956,---,---,29.666,34.029,20.663,20.111,20.423,18.382,14.546,17.464,16.999,18.315,12.619
20.112,19.877,30.97,56.385,22.544,14.865,26.069,25.204,31.738,10.87,52.618,33.259,14.212,---,---,29.83,34.16,20.879,20.123,20.429,18.406,14.772,17.773,17.345,18.451,12.778
20.332,20.087,31.257,56.75,22.777,15.042,26.327,25.472,31.995,11.024,52.815,33.639,14.465,---,---,30.045,34.323,21.179,20.258,20.569,18.518,14.955,17.922,17.437,18.83,13.006
20.559,20.291,31.522,57.096,22.993,15.222,26.563,25.714,32.306,11.163,53.276,33.875,14.594,---,---,30.666,35.187,21.337,20.411,20.725,18.656,15.142,18.125,17.634,19.046,13.188
20.757,20.502,31.812,57.572,23.213,15.398,26.71,25.869,32.569,11.253,53.719,34.13,14.602,---,---,30.289,34.542,21.46,20.453,20.707,18.842,15.351,18.428,17.929,19.36,13.322
21.047,20.729,32.132,58.097,23.456,15.585,27.26,26.424,33.053,11.537,54.265,34.485,15.176,---,---,30.502,34.757,21.66,20.599,20.878,18.916,15.607,18.688,18.171,19.678,13.587
21.259,20.933,32.356,58.436,23.63,15.785,27.562,26.728,33.324,11.701,54.456,34.929,15.485,---,---,30.959,35.354,21.848,20.685,21.004,18.905,15.726,18.721,18.189,19.77,13.79
21.54,21.201,32.744,58.874,23.96,16,27.854,27.016,33.639,11.894,54.738,35.293,15.707,---,---,31.011,35.26,22.158,20.775,21.085,19.011,15.988,18.981,18.464,19.959,14.066
21.847,21.462,33.112,59.155,24.295,16.214,28.097,27.263,34.01,12.058,55.226,35.756,15.772,---,---,31.434,35.751,22.449,20.926,21.206,19.231,16.337,19.471,18.937,20.489,14.306
22.12,21.71,33.421,59.52,24.553,16.439,28.468,27.618,34.429,12.288,55.707,36.148,16.008,---,---,32.161,36.745,22.66,21.465,21.921,19.312,16.578,19.712,19.158,20.786,14.559
22.425,21.962,33.743,59.622,24.869,16.661,28.696,27.84,34.811,12.411,56.31,36.672,15.994,---,---,32.16,36.963,22.251,21.692,22.174,19.47,17.004,20.287,19.676,21.55,14.877
22.749,22.205,34.018,59.857,25.114,16.893,29.293,28.438,35.381,12.799,56.845,37.008,16.586,---,---,32.789,37.746,22.58,21.94,22.397,19.766,17.291,20.551,19.897,21.952,15.193
22.935,22.421,34.255,60.297,25.283,17.103,29.233,28.379,35.609,12.835,57.272,37.403,16.142,---,---,32.711,37.422,22.957,22.477,23.086,19.917,17.594,20.901,20.24,22.309,15.467
23.234,22.712,34.637,61.3,25.509,17.356,29.578,28.711,36.079,13.048,57.942,37.816,16.274,---,---,32.832,37.452,23.238,22.703,23.351,20.032,17.868,21.164,20.495,22.587,15.755
